"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","-----BEGIN CERTIFICATE----- MIIGnTCCBYWgAwIBAgIQCU6WCofoGD/J9sUlywlihjANBgkqhkiG9w0BAQsFADBc MQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3 d3cuZGlnaWNlcnQuY29tMRswGQYDVQQDExJUaGF3dGUgUlNBIENBIDIwMTgwHhcN MjIwMjAzMDAwMDAwWhcNMjMwMjI4MjM1OTU5WjCBnDELMAkGA1UEBhMCRlIxFzAV BgNVBAgMDsOObGUtZGUtRnJhbmNlMQ4wDAYDVQQHEwVQYXJpczE/MD0GA1UEChM2 QU5DVCAoQUdFTkNFIE5BVElPTkFMRSBERSBMQSBDT0hFU0lPTiBERVMgVEVSUklU T0lSRVMpMSMwIQYDVQQDExpmb25kc2NvbW1lcmNlLmFuY3QuZ291di5mcjCCASIw DQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAPSsgEzRF6cr0mgIdTgbMAn049gI u0TjxvBFVqeS5GZouy2tBjeGWjKdSRSZQ5laHTbpBxtmSDyvC7W8/Kpt5YdUgYwP J9IAF3yqJ/BmHD3wx4TTQsrxR0t/YISfyzsHCuHaEqiYgp4azq8OXl4vXxH4770E 5z9AYX3QQx/p1En4vGgbszv/5e5KQTNDhuznejDYc0nvC2hAH+qJJu75yvEWSFyn ZpTo56WQkJbUm7RywEuij5aLCX0S22LEZUB/1Ay+y5MWgGEbheVQ2xBhrWdCzyan xyZrYySGLKem6fR7jcwE1uCiIIi7i/X011LJlrgoPCkUXwinIcUyy4efefMCAwEA AaOCAxgwggMUMB8GA1UdIwQYMBaAFKPIXmVU5TB4wQXqBwpqWcy5/t5aMB0GA1Ud DgQWBBTd1UnO+1QXrqjQK4Fa4ctXvDA9FTAlBgNVHREEHjAcghpmb25kc2NvbW1l cmNlLmFuY3QuZ291di5mcjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYB BQUHAwEGCCsGAQUFBwMCMDoGA1UdHwQzMDEwL6AtoCuGKWh0dHA6Ly9jZHAudGhh d3RlLmNvbS9UaGF3dGVSU0FDQTIwMTguY3JsMD4GA1UdIAQ3MDUwMwYGZ4EMAQIC MCkwJwYIKwYBBQUHAgEWG2h0dHA6Ly93d3cuZGlnaWNlcnQuY29tL0NQUzBvBggr BgEFBQcBAQRjMGEwJAYIKwYBBQUHMAGGGGh0dHA6Ly9zdGF0dXMudGhhd3RlLmNv bTA5BggrBgEFBQcwAoYtaHR0cDovL2NhY2VydHMudGhhd3RlLmNvbS9UaGF3dGVS U0FDQTIwMTguY3J0MAwGA1UdEwEB/wQCMAAwggF/BgorBgEEAdZ5AgQCBIIBbwSC AWsBaQB2AK33vvp8/xDIi509nB4+GGq0Zyldz7EMJMqFhjTr3IKKAAABfr9S5TgA AAQDAEcwRQIgEo4SATfINLki0W+oyqPUQWS3V2xRm2uotNqAGGd7n4MCIQDbXEbI 3hsHPOzX5J2nF+DQ5NadlY8kGNUzQSWbfAVHlAB2ADXPGRu/sWxXvw+tTG1Cy7u2 JyAmUeo/4SrvqAPDO9ZMAAABfr9S5SQAAAQDAEcwRQIhAL+38NsOVsbnQib0/UF4 rziGqhn2veTt9JApzG7EkVZfAiBi3ywUt4HFmTthU9DfXlNTOZuDUMNY4CO80uUh VTxDJwB3ALNzdwfhhFD4Y4bWBancEQlKeS2xZwwLh9zwAw55NqWaAAABfr9S5VwA AAQDAEgwRgIhAKKsqr9X+ghxJvDXqbxLVQHGzSDYH+gI4l9Cmh5l8NMTAiEA++/2 3/2tCkIX+SXxcQZ+POQYnzAp7WdIJooVd1CAl2kwDQYJKoZIhvcNAQELBQADggEB AGBh960tfQylN/JVoLa/sO353JUYv0uIRH7XOe1iS1CYb9MKbUpfjaKijEA4OfNS C4wTsXpNWA40DlhSjB2b5u6CfX2HUtEflNyDG2+2t5vM7oofJ19PpzaKtFN5VGvE WuPxPcolOWnTszxpLtb9OBVMe7H4luMCQ+TIQsPuoYvYz6WUNxm1YfpwWHONto6f lNsLmjSHJN/g+B3tc5EOpTxry6EmX3XzB67Hw5n6GkHk8itdhh12gX/AzDY0Elui kl0OOKGbFEuZ9Uuo5LJzDrAqr4EMOvcPidEPqyZ4iUrXZ3jma9+dN9ciV2/CUyWu C73ypMQieeBLqScr9F8su1U= -----END CERTIFICATE-----","",""
"cert_commonName","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","fondscommerce.anct.gouv.fr","",""
"cert_commonName_wo_SNI","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","*.mgcloud.fr","",""
"cert_subjectAltName","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","fondscommerce.anct.gouv.fr","",""
"cert_trust","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","passed.","",""
"cert_certificatePolicies_EV","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","no","",""
"cert_expirationStatus","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","254 >= 60 days","",""
"cert_notBefore","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","2022-02-03 00:00","",""
"cert_notAfter","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","2023-02-28 23:59","",""
"cert_extlifeSpan","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","not present","",""
"cert_crlDistributionPoints","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","http://cdp.thawte.com/ThawteRSACA2018.crl","",""
"cert_ocspURL","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","http://status.thawte.com","",""
"OCSP_stapling","fondscommerce.anct.gouv.fr/149.202.175.95","443","LOW","not offered","",""
"cert_mustStapleExtension","fondscommerce.anct.gouv.fr/149.202.175.95","443","INFO","--","",""
"DNS_CAArecord","fondscommerce.anct.gouv.fr/149.202.175.95","443","LOW","--","",""
"certificate_transparency","fondscommerce.anct.gouv.fr/149.202.175.95","443","OK","yes (certificate extension)","",""
